;Pais;Fecha;Casos_media_7_dias;Muertes_media_7_dias;Porcentaje_vacunacion;Poblacion
19823;Austria;2020-01-06;0.0;0.0;0.0;9043072.0
19817;Austria;2020-01-07;0.0;0.0;0.0;9043072.0
19815;Austria;2020-01-08;0.0;0.0;0.0;9043072.0
19791;Austria;2020-01-09;0.0;0.0;0.0;9043072.0
19777;Austria;2020-01-10;0.0;0.0;0.0;9043072.0
19788;Austria;2020-01-11;0.0;0.0;0.0;9043072.0
19787;Austria;2020-01-12;0.0;0.0;0.0;9043072.0
19818;Austria;2020-01-13;0.0;0.0;0.0;9043072.0
19821;Austria;2020-01-14;0.0;0.0;0.0;9043072.0
19790;Austria;2020-01-15;0.0;0.0;0.0;9043072.0
19789;Austria;2020-01-16;0.0;0.0;0.0;9043072.0
19806;Austria;2020-01-17;0.0;0.0;0.0;9043072.0
19793;Austria;2020-01-18;0.0;0.0;0.0;9043072.0
19807;Austria;2020-01-19;0.0;0.0;0.0;9043072.0
19781;Austria;2020-01-20;0.0;0.0;0.0;9043072.0
19785;Austria;2020-01-21;0.0;0.0;0.0;9043072.0
19811;Austria;2020-01-22;0.0;0.0;0.0;9043072.0
19820;Austria;2020-01-23;0.0;0.0;0.0;9043072.0
19805;Austria;2020-01-24;0.0;0.0;0.0;9043072.0
19808;Austria;2020-01-25;0.0;0.0;0.0;9043072.0
19814;Austria;2020-01-26;0.0;0.0;0.0;9043072.0
19810;Austria;2020-01-27;0.0;0.0;0.0;9043072.0
19803;Austria;2020-01-28;0.0;0.0;0.0;9043072.0
19775;Austria;2020-01-29;0.0;0.0;0.0;9043072.0
19795;Austria;2020-01-30;0.0;0.0;0.0;9043072.0
19794;Austria;2020-01-31;0.0;0.0;0.0;9043072.0
19778;Austria;2020-02-01;0.0;0.0;0.0;9043072.0
19813;Austria;2020-02-02;0.0;0.0;0.0;9043072.0
19822;Austria;2020-02-03;0.0;0.0;0.0;9043072.0
19798;Austria;2020-02-04;0.0;0.0;0.0;9043072.0
19783;Austria;2020-02-05;0.0;0.0;0.0;9043072.0
19786;Austria;2020-02-06;0.0;0.0;0.0;9043072.0
19779;Austria;2020-02-07;0.0;0.0;0.0;9043072.0
19780;Austria;2020-02-08;0.0;0.0;0.0;9043072.0
19776;Austria;2020-02-09;0.0;0.0;0.0;9043072.0
19819;Austria;2020-02-10;0.0;0.0;0.0;9043072.0
19812;Austria;2020-02-11;0.0;0.0;0.0;9043072.0
19824;Austria;2020-02-12;0.0;0.0;0.0;9043072.0
19797;Austria;2020-02-13;0.0;0.0;0.0;9043072.0
19799;Austria;2020-02-14;0.0;0.0;0.0;9043072.0
19801;Austria;2020-02-15;0.0;0.0;0.0;9043072.0
